#REF!,No,Name proyect,Orientation,Defect,Urgency,Drop,Level,PHOTO 1,PHOTO 2,PHOTO 3,PHOTO 4,PHOTO 5,PHOTO 6,PHOTO 7,PHOTO 8,PHOTO 9,STATUS,STATUS,,,TECHNICIAN START,DATE 1ST PHOTO,TIME 1ST PHOTO,TECHNICIAN COMPLETED,DATE COMPLETED,TIME COMPLETED,mapping,NAME PROJECT:,COMMENT ,Base (m),Height (m),Linear Meters,Quantity
75,75,CRONULLA JOB,STAGE 1,SKIM RENDERING,LOW,2,12,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/Klym8frNFFTeKdna0YHJ.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/4tdquxWKFpqBYab0pK18.jpg,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/NHyGPQr4B1Cfl5u9Q9QX.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/gyQ5SJCUq1dmUk5vxRpA.jpg,,,,,BEFORE,IN PROGRESS,CHECK,,Nicolas Loyola,17/08/2026,10:45:59,Seba Dadea,07/09/2026,09:26:20,,,,,,1.8,
1362,1362,CRONULLA JOB,STAGE 1,RENDER REPAIR,MEDIUM,3,3,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/eRilFaIJFCsgvLTE5kYc.jpg,,,COMPLETED,COMPLETED,,,Ali,,,,23/09/2026,08:55:56,,,,,,,
77,77,CRONULLA JOB,STAGE 1,RESEALING WORKS,LOW,3,3,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/SfRUNt0rxcrIHc0pRSW5.jpg,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/fokwNfuEjsCV1Djf8ddM.jpg,,,,,,BEFORE,IN PROGRESS,CHECK,,Nicolas Loyola,17/08/2026,14:14:37,Seba Dadea,08/09/2026,14:08:29,,,,,,3.4,
76,76,CRONULLA JOB,STAGE 1,SKIM RENDERING,LOW,3,3,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/S5xSUJyhtOIAVxotcfXN.jpg,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/O2UMqaymIbZtGyEOwhDC.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/X1PblckuVJB0l10jX1Te.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/QsJuArS7NtNUTMdLuDyi.jpg,,,,BEFORE,IN PROGRESS,CHECK,,César Meneses,17/08/2026,14:07:36,Seba Dadea,08/09/2026,14:21:34,,,,,,1.45,
80,80,CRONULLA JOB,STAGE 1,RENDER REPAIR,LOW,3,4,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/DVTcCb7oUm9VRoN8Ncig.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/Qs9BhG25LbvlyuCKx1wo.jpg,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/31ZzRtNxGKeoD8cCGzny.jpg,,,,,,IN PROGRESS,IN PROGRESS,,,César Meneses,17/08/2026,14:06:42,Nicolas Loyola,05/09/2026,10:11:30,,,,0.3,1.4,,
1346,1346,CRONULLA JOB,STAGE 1,RENDER REPAIR,HIGH,3,4,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/07PSmRsL38wPr1meLW99.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/Rf3PEj7709uGIAaxodbz.jpg,,COMPLETED,COMPLETED,,,Ali Madad,,,,16/09/2026,08:07:11,,,,,,,
78,78,CRONULLA JOB,STAGE 1,RESEALING WORKS,LOW,3,4,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/YbgKxve2xgCQ70axkpDc.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/reuhyEnCuLdtV7cmxt0f.jpg,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/KPXd3IrWuNEZEUAJwGU8.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/tVp4uZT0w0jfsrK9PvZi.jpg,,,,,BEFORE,IN PROGRESS,CHECK,,César Meneses,17/08/2026,14:05:54,Drago,08/09/2026,11:20:44,,,,,,1.45,
79,79,CRONULLA JOB,STAGE 1,RESEALING WORKS,LOW,3,4,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/85dmG4FQSpOIfmVHT8dX.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/AEG0qrpsX0GVNPo3wxY5.jpg,,,,,,,,BEFORE,BEFORE,,,Nicolas Loyola,17/08/2026,14:06:19,,17/08/2026,13:58:38,,,3.4x2,,,6.8,
81,81,CRONULLA JOB,STAGE 1,RENDER REPAIR,LOW,3,5,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/8fmlUCh70cyyh6VyL7QA.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/84VOlnlXJzqgGWGk7TJf.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/wUZVkSuNXM0gzDzwLoGs.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/Wsa8wR8CW5Ql6fe31QQO.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/nFqp6VdtyIdCboXLwslY.jpg,,,,,IN PROGRESS,IN PROGRESS,,,Nicolas Loyola,17/08/2026,14:04:19,Drago,08/09/2026,11:08:59,,,,0.2,1.2,,
82,82,CRONULLA JOB,STAGE 1,RESEALING WORKS,LOW,3,5,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/D3Ih5UAarxuhjZY8kzBy.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/F2rlCyhpNpLGFsYt3FZ5.jpg,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/8oAdyuEVfcv85vhaawqT.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/6kb8TqR8fHPAheRGGYZ2.jpg,,BEFORE,COMPLETED,CHECK,,Nicolas Loyola,17/08/2026,14:05:02,Laura Valencia,14/09/2026,11:06:01,,,3.4x2,,,6.8,
1343,1343,CRONULLA JOB,STAGE 1,RENDER REPAIR,HIGH,3,6,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/5rlvzJGt4jNekmHVZMKD.jpg,,,COMPLETED,COMPLETED,,,Ali Madad,,,,16/09/2026,07:59:25,,,,,,,
84,84,CRONULLA JOB,STAGE 1,RESEALING WORKS,LOW,3,6,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/k78d91c5XN2jF7Z3jQ3j.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/WzDndv5pXqBq8aDk3E7e.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/Jg39K1wL7e8m2u2V3l4A.jpg,,,,,,,BEFORE,BEFORE,,,Nicolas Loyola,17/08/2026,14:03:00,,17/08/2026,14:03:00,,,WINDOW FRAME,,,3.4,
85,85,CRONULLA JOB,STAGE 1,SEAL WINDOW FRAME,LOW,3,7,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/9wKxQe2kP3o9f0t1e2m3.jpg,,,,,,,,,BEFORE,BEFORE,,,Nicolas Loyola,17/08/2026,14:01:00,,17/08/2026,14:01:00,,,,,,1.8,
86,86,CRONULLA JOB,STAGE 1,RENDER REPAIR,MEDIUM,3,8,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/O2u1tXyZ8p8c9kL1m2N3.jpg,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/V3k1m9lP0t7x5qE2r1o8.jpg,,,,,,IN PROGRESS,IN PROGRESS,,,Nicolas Loyola,17/08/2026,13:59:00,Nicolas Loyola,09/09/2026,10:20:00,,,,0.4,0.4,,
1330,1330,CRONULLA JOB,STAGE 1,RENDER REPAIR,HIGH,3,9,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/5wM9k0pL2q3t4yU7i8o1.jpg,,,COMPLETED,COMPLETED,,,Ali Madad,,,,16/09/2026,08:15:00,,,,,,,
1381,1381,CRONULLA JOB,STAGE 2,RENDER REPAIR,HIGH,11,8,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/rATTlV2UzdE8hJjJxaVa.jpg,,,,,,IN PROGRESS,IN PROGRESS,,,Ali Madad,,,,22/09/2026,11:30:00,,,,,,,
1383,1383,CRONULLA JOB,STAGE 2,RENDER REPAIR,HIGH,11,9,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/7Ds3rNF5cRoD1cr7b9f8.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/mlwjhCIbPqafmAtvVQvx.jpg,,,,IN PROGRESS,IN PROGRESS,,,Ali Madad,,,,22/09/2026,11:45:00,,,,,,,
1390,1390,CRONULLA JOB,STAGE 2,SEAL WINDOW FRAME,MEDIUM,11,10,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/kP9m2xL0q7t4yU1i8o5A.jpg,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/8mN2k0pL4q5t6yU7i8o9.jpg,,,COMPLETED,COMPLETED,,,Laura Valencia,18/09/2026,10:00:00,Laura Valencia,23/09/2026,15:30:00,,,,,,3.2,
1405,1405,CRONULLA JOB,STAGE 2,RESEALING WORKS,LOW,12,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/7yU1i8o5kP9m2xL0q7t4.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/1m2N3O2u1tXyZ8p8c9kL.jpg,,,,,,,,BEFORE,BEFORE,,,Sergio Carrasco,20/09/2026,09:15:00,,20/09/2026,09:15:00,,,,,,2.5,
1410,1410,CRONULLA JOB,STAGE 2,SKIM RENDERING,LOW,12,3,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/4yU7i8o15wM9k0pL2q3t.jpg,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/p0t7x5qE2r1o8V3k1m9l.jpg,,,,,IN PROGRESS,IN PROGRESS,,,Sergio Carrasco,20/09/2026,10:00:00,Sergio Carrasco,23/09/2026,11:00:00,,,,1.2,0.8,,
1412,1412,CRONULLA JOB,STAGE 2,RUST SPOT,HIGH,12,4,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/6wdCmAVbjHK3HE5CcNMK.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/20Cj6H2CKhpAutEnixMm.jpg,,,,,,,,BEFORE,BEFORE,,,Ali Madad,,,,24/09/2026,10:46:38,,,,,,,
